date,unity,n
2020-04-10,sai,179.0
2020-04-11,ent,689.0
2020-04-11,evo,1665.0
2020-04-11,int,1848.0
2020-04-11,pri,1950.0
2020-04-11,sai,399.0
2020-04-12,ent,971.0
2020-04-12,evo,2592.0
2020-04-12,int,2832.0
2020-04-12,pri,3007.0
2020-04-12,sai,516.0
2020-04-13,ent,505.0
2020-04-13,evo,1503.0
2020-04-13,int,1496.0
2020-04-13,pri,1698.0
2020-04-13,sai,219.0
2020-04-14,ent,441.0
2020-04-14,evo,1352.0
2020-04-14,int,1334.0
2020-04-14,pri,1532.0
2020-04-14,sai,208.0
2020-04-15,ent,491.0
2020-04-15,evo,1334.0
2020-04-15,int,1386.0
2020-04-15,pri,1526.0
2020-04-15,sai,221.0
2020-04-16,ent,451.0
2020-04-16,evo,1319.0
2020-04-16,int,1324.0
2020-04-16,pri,1463.0
2020-04-16,sai,220.0
2020-04-17,ent,413.0
2020-04-17,evo,1307.0
2020-04-17,int,1316.0
2020-04-17,pri,1477.0
2020-04-17,sai,201.0
2020-04-18,ent,292.0
2020-04-18,evo,938.0
2020-04-18,int,948.0
2020-04-18,pri,1067.0
2020-04-18,sai,159.0
2020-04-19,ent,232.0
2020-04-19,evo,882.0
2020-04-19,int,864.0
2020-04-19,pri,983.0
2020-04-19,sai,129.0
2020-04-20,ent,632.0
2020-04-20,evo,1773.0
2020-04-20,int,1803.0
2020-04-20,pri,2008.0
2020-04-20,sai,272.0
2020-04-21,ent,370.0
2020-04-21,evo,1169.0
2020-04-21,int,1208.0
2020-04-21,pri,1340.0
2020-04-21,sai,165.0
2020-04-22,ent,727.0
2020-04-22,evo,2055.0
2020-04-22,int,2132.0
2020-04-22,pri,2367.0
2020-04-22,sai,329.0
2020-04-23,ent,548.0
2020-04-23,evo,1854.0
2020-04-23,int,1846.0
2020-04-23,pri,2102.0
2020-04-23,sai,280.0
2020-04-24,ent,652.0
2020-04-24,evo,2074.0
2020-04-24,int,2116.0
2020-04-24,pri,2417.0
2020-04-24,sai,286.0
2020-04-25,ent,337.0
2020-04-25,evo,1379.0
2020-04-25,int,1352.0
